                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0316,                 3.9723,                 2.6784,                0.08757,                0.07202,                0.04422,                0.01957,                 3.2583,                 3.8212,                  1.953,             0.00010002,             0.00010002,             0.00010002
                      2,                 2.2674,                 2.2213,                 1.5669,                 0.3215,                0.25208,                0.19238,                0.09635,                 2.0703,                 3.2319,                 1.4724,             0.00021456,             0.00021456,             0.00021456
                      3,                 1.7881,                 1.7473,                 1.3542,                0.42457,                0.31982,                0.26624,                0.14274,                 1.7983,                 3.3591,                 1.3074,              0.0003268,              0.0003268,              0.0003268
                      4,                 1.7415,                 1.7506,                 1.3054,                0.26641,                0.20923,                0.15941,                0.08859,                  1.943,                 4.0837,                 1.4623,             0.00043672,             0.00043672,             0.00043672
                      5,                 1.6928,                  1.657,                 1.2845,                 0.2695,                0.34762,                0.25124,                0.13014,                 1.8298,                 5.9197,                 1.3212,             0.00054434,             0.00054434,             0.00054434
                      6,                 1.6175,                 1.6067,                 1.2457,                0.48757,                0.41018,                0.35687,                0.17085,                 1.7382,                 3.6731,                 1.3007,             0.00064964,             0.00064964,             0.00064964
                      7,                 1.6432,                 1.5257,                 1.2375,                 0.3635,                 0.5372,                0.40254,                0.19892,                 1.5351,                 5.2523,                 1.2326,             0.00075263,             0.00075263,             0.00075263
                      8,                 1.5361,                 1.4107,                 1.1712,                0.31737,                0.63185,                0.46694,                0.24359,                  1.491,                 6.3608,                 1.1833,             0.00085331,             0.00085331,             0.00085331
                      9,                 1.5668,                 1.4137,                  1.193,                0.30461,                0.35369,                0.26868,                0.12936,                  1.781,                 3.8026,                 1.3833,             0.00095168,             0.00095168,             0.00095168
                     10,                 1.5701,                 1.3402,                  1.228,                0.44915,                 0.4775,                0.44884,                0.25476,                 1.5632,                 2.7585,                 1.2275,              0.0010477,              0.0010477,              0.0010477
                     11,                 1.5408,                 1.3216,                 1.2096,                0.41877,                0.31964,                0.31707,                0.16537,                 1.6186,                 2.8493,                 1.2898,              0.0011415,              0.0011415,              0.0011415
                     12,                 1.5174,                 1.2978,                 1.1861,                0.46456,                0.54182,                0.47467,                0.24538,                 1.6287,                 2.7135,                 1.2305,              0.0012329,              0.0012329,              0.0012329
                     13,                 1.5326,                 1.3361,                 1.1872,                0.47799,                0.52589,                0.51039,                0.28348,                 1.4677,                 2.7017,                 1.1847,              0.0013221,              0.0013221,              0.0013221
                     14,                 1.4615,                  1.271,                 1.1412,                0.38954,                0.57649,                0.48435,                 0.2679,                 1.5024,                 1.9026,                 1.2114,              0.0014089,              0.0014089,              0.0014089
                     15,                 1.4599,                 1.3156,                 1.1772,                0.25186,                0.30238,                0.06408,                0.03438,                 2.1165,                 15.941,                 1.6285,               0.001436,               0.001436,               0.001436
                     16,                 1.4287,                 1.2249,                 1.1359,                0.30992,                0.37798,                0.21253,                0.11008,                 1.7435,                 2.3311,                 1.3667,               0.001436,               0.001436,               0.001436
                     17,                 1.4784,                 1.2174,                 1.1755,                0.33346,                0.52738,                0.30658,                0.17029,                 1.5936,                 2.0267,                 1.2848,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.6163,                 1.2758,                 1.2363,                0.33765,                0.35032,                 0.2061,                0.10851,                 2.0404,                 2.3243,                   1.56,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.6092,                 1.3255,                 1.1967,                0.20218,                0.42827,                0.14561,                0.07348,                 2.0754,                 8.2615,                  1.714,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.5244,                 1.3008,                 1.1536,                 0.2087,                0.52295,                0.19007,                0.09996,                 1.7499,                 790.88,                 1.3748,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.4525,                 1.2171,                 1.1356,                0.30799,                0.47738,                0.26362,                0.15232,                 1.5781,                 476.06,                 1.2647,              0.0013534,              0.0013534,              0.0013534
                     22,                 1.4891,                 1.2718,                 1.1488,                0.46366,                0.47798,                0.41676,                0.23259,                 1.5332,                 1.7327,                  1.204,              0.0013369,              0.0013369,              0.0013369
                     23,                 1.4358,                 1.1847,                 1.1267,                0.53261,                0.47708,                0.50356,                0.28531,                   1.55,                 1.6472,                 1.2207,              0.0013204,              0.0013204,              0.0013204
                     24,                 1.4276,                 1.1783,                 1.1258,                0.59643,                0.71012,                0.64282,                0.35443,                 1.4401,                 1.4103,                 1.1729,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.3711,                 1.1132,                 1.1282,                0.59852,                0.67262,                0.62855,                0.35517,                 1.4303,                 1.7671,                 1.1893,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.3505,                 1.1646,                 1.1238,                0.50043,                0.68155,                0.56099,                0.32907,                 1.4462,                 2.0416,                 1.2087,              0.0012709,              0.0012709,              0.0012709
                     27,                 1.4476,                 1.2169,                 1.1279,                0.61403,                0.50893,                0.52362,                0.27456,                 1.5811,                 1.6486,                 1.2331,              0.0012544,              0.0012544,              0.0012544
                     28,                 1.4155,                 1.1395,                 1.1421,                0.58369,                0.51585,                0.54622,                 0.2956,                 1.4802,                 1.4765,                 1.1567,              0.0012379,              0.0012379,              0.0012379
                     29,                 1.3592,                 1.0896,                 1.1188,                0.49666,                0.61054,                 0.5719,                0.32812,                 1.4671,                 1.4192,                 1.1342,              0.0012214,              0.0012214,              0.0012214
                     30,                 1.3822,                 1.1095,                 1.1088,                0.58011,                0.65456,                0.64101,                0.38089,                 1.3939,                 1.2584,                 1.1206,              0.0012049,              0.0012049,              0.0012049
                     31,                 1.3449,                 1.0956,                   1.08,                0.63536,                0.59043,                0.65727,                0.37999,                 1.4072,                 1.4529,                 1.1386,              0.0011884,              0.0011884,              0.0011884
